id	device_type	instrument_type	wattage	purpose	position	unit_number	color	dimmer	channel	address	universe	u_address	circuit_number	circuit_name	system	user_field_1	user_field_2	user_field_3	user_field_4	user_field_5	user_field_6	num_channels	frame_size	field_angle	field_angle_2	beam_angle	beam_angle_2	weight	gobo_1	gobo_1_rotation	gobo_2	gobo_2_rotation	gobo_shift	mark	draw_beam	draw_beam_as_3d_solid	use_vertical_beam	show_beam_at	falloff_distance	lamp_rotation_angle	top_shutter_depth	top_shutter_angle	left_shutter_depth	left_shutter_angle	right_shutter_depth	right_shutter_angle	bottom_shutter_depth	bottom_shutter_angle	symbol_name	use_legend	flip_front_and_back_legend_text	flip_left_and_right_legend_text	focus	set_3d_orientation	x_rotation	y_rotation	x_location	y_location	z_location	fixtureid	__uid	accessories	created_at	updated_at	production_id
1																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
2	Light	Source 4 26º	575W	-	A5	2	-	331	-	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	22'4.424	51'8.068	0	-	1517.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
3																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
4	Light	Source 4 26º	575W	HIGH SIDES SR	A1	4	-	151	-	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	-24'10.239	47'5.447	0	-	1536.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
5																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
6	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SR	A1	2	-	150	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-24'11.803	45'.902	0	-	1557.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
7																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
8	Light	Source 4 26º	575W	-	A1	6	-	156	-	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	-24'2.92	51'8.566	0	-	1572.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
9																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
10	Light	Source 4 19º	575W	-	A1	3	-	152	-	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-22'5.013	46'2.513	0	-	1859.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
11																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
12	Light	Source 4 19º	575W	-	A2	5	-	223	-	-	-	-	-	-	A	-	-	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-10'7.927	48'7.775	0	-	1862.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
13																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
14	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SR	A2	2	-	184	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-14'9.013	45'.986	0	-	1558.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
15																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
16	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SR	A3	2	-	221	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-4'8.695	45'.986	0	-	1559.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
17																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
18	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	A3	8	-	257	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	3'6.994	45'.902	0	-	1560.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
19																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
20	Light	Source 4 19º	575W	-	A4	2	-	263	-	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	...	False	0	0	9'4.261	49'.656	0	-	1857.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
21																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
22	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	A4	5	-	292	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	13'4.378	45'.902	0	-	1561.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
23																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
24	Light	Source 4 26º	575W	HIGH SIDES SL	A5	4	-	336	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	23'8.761	47'5.447	0	-	1546.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
25																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
26	Light	Source 4 26º	575W	HIGH SIDES SL	A5	7	-	326	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6.25	25°	17°	17°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4  26°	FOH	False	False	-	False	0	0	23'8.761	42'9.939	0	-	1547.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
27																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
28	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SL	A5	6	-	327	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	23'6.384	45'.902	0	-	1562.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
29																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
30	Light	Source 4 19º	575W	-	A5	5	-	325	-	-	-	-	-	-	-	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	21'9.521	46'2.116	0	-	1863.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
31																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
32	Light	Source 4 19º	575W	-	A3	5	-	228	-	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-7.927	48'7.775	0	-	1867.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
33																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
34	Light	PAR 64 MFL	1KW	PAR HIGH SIDES SR	B1	2	-	140	-	-	-	-	-	-	A	-	-	-	-	-	-	1	10	45°	17°	22°	12°	8lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Par64 MFL*#	FOH	False	False	-	False	0	0	-24'11.548	34'2.854	0	-	1568.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
35																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
36	Light	Source 4 19º	575W	-	B1	3	-	147	-	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-23'1.006	36'3.222	0	-	1868.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
37																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
38	Static Accessory	Iris	-	-	B1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-22'3.194	36'3.222	216'0	-	1870.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
39																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
40	Light	Source 4 19º	575W	-	B2	4	-	185	-	-	-	-	-	-	A	-	IRIS	-	-	-	-	1	6.25	17°	17°	12°	12°	14lb	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Etc Source 4 19°	FOH	False	False	-	False	0	0	-13'1.554	36'10.514	0	-	1873.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
41																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
42	Static Accessory	Iris	-	-	B2	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-13'1.554	36'.28	216'0	-	1874.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
43																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
44	Light	S4 PAR WFL	575W	DOWN WASH	B3	4	-	217	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-2'7.554	37'6.844	0	-	1882.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
45																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
46	Light	S4 PAR WFL	575W	DOWN WASH	B3	5	-	254	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	1'4.446	37'6.844	0	-	1883.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
47																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
48	Light	S4 PAR WFL	575W	DOWN WASH	B4	1	-	253	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	7'1.446	37'9.397	0	-	1884.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
49																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
50	Light	S4 PAR WFL	575W	DOWN WASH	B2	5	-	218	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-8'4.554	37'6.844	0	-	1885.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
51																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
52	Light	S4 PAR WFL	575W	DOWN WASH	B1	7	-	181	-	-	-	-	-	-	A	-	-	-	-	-	-	1	7.5	36°	17°	20°	12°	7.5lbs	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Source 4 PAR WFL	FOH	False	False	-	False	0	0	-18'7.554	37'6.844	0	-	1886.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
53																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
54	Static Accessory	Iris	-	-	A1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0°	17°	0°	12°	-	-	0°	-	0°	0	-	False	False	False	Focus Point	5'0	0°	0	0°	0	0°	0	0°	0	0°	Iris	-	False	False	-	False	0	0	-21'6.867	46'2.513	216'0	-	1891.1.1.0.0	-	2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
55																																																															2016-02-01 19:44:44 UTC	2016-02-01 19:44:44 UTC	1
